category,unit,K2O,Corn farming,Crude oil extr.,Petroleum refining,FP and BCF combustion,Trans. stover,Trans. crude oil,Trans. conventional diesel,Trans. K2O,NG extraction,NG processing,Trans. NG,Ammonia,Urea,Ammonium nitrate,DAP,MAP,Urea-Ammonium nitrate solution,Ammonium sulfate,Nitric acid,Phosphoric acid,Sulfuric acid,Phosphoric rock,Trans. ammonia,Trans. urea,Trans. ammonium nitrate,Trans. DAP,Trans. MAP,Trans. Urea-Ammonium nitrate solution,Trans. ammonium sulfate,Trans. nitric Acid,Trans. phosphoric acid,Trans. sulfuric acid,Trans. phosphoric rock,Coal mining,Trans. coal,Coal comb.,NG elec,Total
VOC,g,2.09E-05,0.004637975,0.00038774,0.000418336,0.0023888,0.001454958,0.00042213,0.00025373,0.000196819,0.000325537,8.00E-04,0.000646999,0.015178893,2.46E-05,2.40E-06,2.36E-07,2.75E-07,3.23E-07,3.31E-04,0,3.85E-05,2.94E-07,8.87E-05,1.03E-04,0.000111791,5.83E-05,8.73E-06,8.31E-06,0.000120351,2.46E-06,4.38E-05,4.55E-05,7.81E-05,7.03E-05,0.000144654,1.19E-05,1.87E-05,0.000100518,0.0293242
CO,g,0.000833308,0.025695844,0.001343806,0.000513877,0.0155556,0.005945156,0.000333996,0.000119602,0.000647879,0.001749796,3.76E-04,0.003426253,0.013421435,2.28E-04,2.23E-05,9.24E-06,1.08E-05,3.00E-06,3.53E-04,0,5.05E-05,2.73E-06,5.23E-04,3.28E-04,0.000352475,0.000197637,4.07E-05,3.88E-05,0.000407232,1.15E-05,1.25E-04,0.000130199,0.000254193,2.00E-04,2.62E-05,4.26E-05,0.000121756,0.000498508,0.0775214
NOx,g,0.002461312,0.04622328,0.001940869,0.000908288,0.0251321,0.016476748,0.002675379,0.000532425,0.004156213,0.002425599,4.78E-04,0.004042389,0.001211589,3.75E-04,3.66E-05,7.16E-06,8.33E-06,4.92E-06,2.45E-04,0.00090649,4.74E-04,4.48E-06,9.29E-04,2.33E-03,0.002436243,0.001239075,9.93E-05,9.45E-05,0.002561058,2.80E-05,1.08E-03,0.00109616,0.001774253,1.70E-03,6.97E-05,0.000232861,0.000786717,0.00050283,0.1387
PM10,g,0.000115279,0.004119127,4.54E-05,0.000102161,0.0017056,0.000123173,0.000190761,1.83E-05,0.000247592,5.29E-05,2.17E-05,5.82E-06,0.000109734,2.78E-04,1.58E-03,8.00E-07,9.32E-07,4.46E-07,1.19E-05,0,1.33E-03,4.06E-07,8.30E-05,1.40E-04,0.000155937,7.20E-05,7.92E-07,7.54E-07,0.000149265,2.23E-07,7.49E-05,7.43E-05,9.39E-05,1.16E-04,0.000175774,6.17E-06,0.000170287,4.68E-05,0.0120865
PM2.5,g,0.000104755,0.003995567,4.07E-05,7.51E-05,0.0012001,0.000119559,0.000176765,1.75E-05,0.000229707,4.83E-05,1.96E-05,5.82E-06,0.000109734,2.29E-04,1.26E-03,8.00E-07,9.32E-07,4.46E-07,1.07E-05,0,1.00E-03,4.06E-07,8.08E-05,1.30E-04,0.000144413,6.69E-05,7.69E-07,7.32E-07,0.000138621,2.17E-07,6.94E-05,6.88E-05,8.78E-05,1.07E-04,2.38E-05,5.99E-06,0.000104505,4.68E-05,0.0103252
SOx,g,4.65E-06,0.000118484,4.76E-05,0.001759576,0.0196887,4.74E-08,0.001524324,0.000145989,0.001713759,0.000103568,1.82E-03,1.30E-06,0.000101057,2.60E-06,2.54E-07,6.01E-08,7.00E-08,3.41E-08,3.76E-03,0,9.00E-03,7.38E-02,2.94E-06,9.50E-04,0.001115178,0.000497194,3.15E-07,3.00E-07,0.001030273,8.88E-08,5.44E-04,0.000526445,0.00056031,8.26E-04,0.000128231,9.26E-07,0.005126908,2.37E-05,0.1237
CH4,g,1.39E-05,4.64E-05,0.009278531,1.55E-05,0.0027779,0.00086797,5.52E-06,4.19E-06,3.85E-05,0.013259011,4.80E-03,0.017626261,3.32E-05,1.03E-05,1.00E-06,2.36E-07,2.75E-07,1.35E-07,4.42E-04,0,0.00E+00,1.23E-07,4.31E-06,1.35E-05,1.98E-05,1.15E-05,5.16E-06,4.91E-06,2.35E-05,1.46E-06,3.30E-06,3.56E-06,7.22E-06,5.46E-06,0.003028244,1.53E-06,2.19E-05,1.10E-05,0.0481154
N2O,g,7.98E-06,6.77E-05,1.28E-06,1.09E-05,0.0010418,7.18E-06,3.50E-06,9.91E-07,4.99E-06,3.62E-06,2.04E-06,0.000242658,1.72E-05,5.32E-06,5.20E-07,2.28E-08,2.66E-08,6.99E-08,3.34E-06,0.005050654,0.00E+00,6.37E-08,2.99E-06,2.03E-03,2.83E-06,1.52E-06,6.28E-08,5.97E-08,3.16E-06,1.77E-08,1.34E-06,1.38E-06,2.66E-06,2.13E-06,8.98E-08,4.34E-07,3.28E-05,1.14E-06,0.0099917
BC,mg,0.046247694,2.2495031,0.017883623,0.007398036,0.0516671,0.019131392,0.026363318,0.002558044,0.032582072,0.022042403,2.34E-03,0.001164735,0.018106073,5.60E-03,5.47E-04,2.32E-05,2.70E-05,7.35E-05,1.68E-03,0,0.00E+00,6.70E-05,4.09E-02,1.82E-02,0.020742011,0.009472028,0.000115333,0.000109749,0.019620698,3.25E-05,9.96E-03,0.009786727,0.011623388,1.53E-02,0.001265751,0.000509485,0.004493561,0.008923833,2.9479
POC,g,2.61E-05,0.001394462,1.15E-05,1.90E-05,0.000097223,7.89E-05,7.01E-05,7.55E-06,0.000104842,1.37E-05,9.46E-06,2.49E-06,4.70E-05,1.45E-05,1.42E-06,5.44E-07,6.34E-07,1.91E-07,4.87E-06,0,0.00E+00,1.74E-07,2.91E-05,6.12E-05,6.38E-05,3.07E-05,5.29E-07,5.04E-07,6.35E-05,1.49E-07,3.04E-05,3.09E-05,4.58E-05,4.80E-05,4.49E-07,5.26E-06,8.46E-06,2.04E-05,0.0024982
NH3,g,0.000204544,0.102039968,2.24E-05,6.37E-05,0,9.82E-05,2.76E-06,0.000242116,3.35E-06,0,1.67E-06,0,0.001461432,1.08E-03,9.43E-05,2.83E-04,1.89E-04,1.51E-03,9.43E-05,0,0.00E+00,0.00E+00,0.00E+00,7.35E-07,1.64E-06,1.00E-06,6.53E-07,6.21E-07,2.04E-06,1.84E-07,0.00E+00,0,0,0.00E+00,2.81E-06,9.29E-09,0,0,0.107198228